yyyyq,Index,D3,D12,E3,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19892,317.98,2.860,10.300,6.480,25.220,0.4405629370,0.0815,0.0910,0.1003,0.0821,0.0199270680,-0.0240481981,0.0209516243,0.0146772141,0.1147526575,0.1018775572,0.0034581695,-0.0026943259,0.0350302461,0.0886887097,0.0785827955
19893,349.15,2.830,10.670,4.850,23.690,0.3992097504,0.0775,0.0901,0.0991,0.0847,0.0161091930,-0.0301196286,0.0195445255,0.0072428238,-0.0008215812,0.0052146994,0.0029494680,-0.0027566186,0.0356786926,0.1073458180,0.0977736571
19894,353.40,2.860,11.050,4.800,22.870,0.3904547436,0.0763,0.0886,0.0982,0.0816,0.0195266490,-0.0123201636,0.0190725767,0.0087843353,0.0453680226,0.0354140759,0.0074041419,-0.0029288342,0.0347825589,0.0190348477,0.0102828476
19901,339.94,2.770,11.320,5.540,21.670,0.4713339564,0.0790,0.0937,0.1021,0.0889,0.0204616620,-0.0102703966,0.0193375307,0.0205388873,-0.0409527073,-0.0213547752,0.0049328709,-0.0023641623,0.0349020433,-0.0300756910,-0.0381136002
19902,358.02,3.200,11.660,6.070,21.260,0.4429494323,0.0773,0.0926,0.1022,0.0864,0.0242513510,-0.0004704629,0.0193044228,0.0093053896,0.0439323191,0.0406678064,0.0036790492,-0.0025342714,0.0339626718,0.0632342068,0.0539866825
19903,306.05,3.000,11.830,5.330,21.740,0.5202896660,0.0736,0.0956,0.1064,0.0914,0.0363453370,0.0014226454,0.0186336657,0.0214697307,-0.0203186155,-0.0103734503,0.0091110175,-0.0032591891,0.0338748069,-0.1392417214,-0.1468230527
19904,330.22,3.120,12.090,4.400,21.340,0.4844968599,0.0674,0.0905,0.1043,0.0844,0.0310249740,-0.0017369336,0.0174242666,0.0082686980,0.0824342524,0.0594788725,0.0077272522,-0.0023382328,0.0329354140,0.0904689283,0.0797704752
19911,375.22,2.790,12.110,5.140,20.940,0.4571255997,0.0591,0.0893,0.1009,0.0844,0.0192412140,0.0033749294,0.0150206470,0.0089485344,0.0198999482,0.0383761402,0.0069999515,-0.0024701057,0.0318336098,0.1471456568,0.1382338702
19912,371.16,3.240,12.150,4.540,19.410,0.4582437430,0.0557,0.0901,0.0996,0.0860,0.0212543350,0.0142929905,0.0138678912,0.0073975557,0.0076118000,0.0159218631,0.0048378338,-0.0023828567,0.0313144651,-0.0021578896,-0.0103451086
19913,387.86,3.130,12.280,3.740,17.820,0.4415318370,0.0522,0.0861,0.0951,0.0790,0.0195666910,0.0231106614,0.0134116198,0.0088084511,0.0820558841,0.0729695157,0.0036176636,-0.0017709068,0.0308229565,0.0534028082,0.0452387220
19914,417.09,3.040,12.200,2.550,15.970,0.4203444173,0.0407,0.0831,0.0926,0.0730,0.0085801690,0.0316383708,0.0113284375,0.0050964726,0.0725370127,0.0591972073,0.0052242317,-0.0012532164,0.0304819616,0.0837489079,0.0752388686
19921,403.69,2.910,12.320,5.360,16.190,0.4021060342,0.0404,0.0835,0.0925,0.0797,0.0104229350,0.0417099956,0.0097175664,0.0101318680,-0.0366070667,-0.0151086576,0.0022554278,-0.0012508721,0.0301816479,-0.0250261666,-0.0321555546
19922,408.14,3.240,12.320,5.400,17.050,0.3920423538,0.0366,0.0822,0.0905,0.0765,0.0094010580,0.0430407298,0.0091859194,0.0064524010,0.0464576576,0.0430624740,0.0031039919,-0.0012735065,0.0312183441,0.0181355379,0.0103341464
19923,417.80,3.200,12.390,4.730,18.040,0.3976569721,0.0291,0.0792,0.0862,0.0710,0.0081292800,0.0411823039,0.0076984305,0.0078355280,0.0661318432,0.0503739643,0.0021392515,-0.0010761546,0.0316567033,0.0309773293,0.0233717625
19924,435.71,3.030,12.380,3.600,19.090,0.3941096142,0.0322,0.0798,0.0881,0.0726,0.0054515570,0.0388164548,0.0076651749,0.0042387882,0.0053172329,0.0137915458,0.0019237918,-0.0011115236,0.0323958936,0.0526816540,0.0452828499
19931,451.67,3.010,12.480,6.110,19.840,0.3336135264,0.0295,0.0758,0.0815,0.0702,0.0200920450,0.0371049432,0.0073908874,0.0119557292,0.0666264215,0.0538681000,0.0025004722,-0.0016690258,0.0323528749,0.0425415993,0.0353686006
19932,450.53,3.280,12.520,4.890,19.330,0.3259312476,0.0307,0.0733,0.0807,0.0668,0.0125899810,0.0410504900,0.0074075070,0.0055652149,0.0573696694,0.0367216647,0.0023959445,-0.0017479702,0.0329716007,0.0046596948,-0.0027847685
19933,458.93,3.200,12.520,5.810,20.410,0.3223518215,0.0295,0.0666,0.0734,0.0627,0.0140507440,0.0417245057,0.0074989516,0.0048416587,0.0638606045,0.0434546441,0.0013612060,-0.0011537305,0.0330733577,0.0247799875,0.0178259859
19934,466.45,3.090,12.580,5.080,21.890,0.3052672229,0.0306,0.0693,0.0769,0.0654,0.0082841040,0.0457551720,0.0076402617,0.0048154909,-0.0145817373,-0.0071883124,0.0011602609,-0.0010124970,0.0341831571,0.0237658086,0.0169414544
19941,445.77,3.140,12.710,6.930,22.710,0.3074838051,0.0350,0.0748,0.0813,0.0725,0.0240766930,0.0419300092,0.0080973488,0.0095866902,-0.0591484683,-0.0469338733,0.0023416674,-0.0010998390,0.0342107704,-0.0384386611,-0.0448060118
19942,444.27,3.410,12.840,7.380,25.200,0.3084170767,0.0414,0.0797,0.0865,0.0774,0.0221525710,0.0340461940,0.0099500988,0.0054279022,-0.0328462300,-0.0238115571,0.0029213038,-0.0009657219,0.0345790558,0.0037817857,-0.0035121368
19943,462.71,3.290,12.930,7.940,27.330,0.2909046586,0.0462,0.0834,0.0898,0.0800,0.0256320220,0.0291000249,0.0111708284,0.0094439313,-0.0066187168,0.0004700484,0.0016895631,-0.0008392978,0.0348927028,0.0496496328,0.0425436582
19944,459.27,3.340,13.180,8.350,30.600,0.2915683000,0.0560,0.0846,0.0910,0.0799,0.0209396280,0.0166568397,0.0131709721,0.0020069338,0.0202492444,0.0124406187,0.0026997504,-0.0005760069,0.0360802410,0.0003656082,-0.0070658198
19951,500.71,3.140,13.180,8.880,32.550,0.3138765419,0.0573,0.0812,0.0870,0.0755,0.0146409980,0.0143577800,0.0143074943,0.0113344497,0.0664002399,0.0652646185,0.0012460964,-0.0005667705,0.0371414250,0.0974594226,0.0903544028
19952,544.75,3.600,13.370,9.260,34.430,0.2864296179,0.0547,0.0730,0.0790,0.0670,0.0166524820,0.0081688056,0.0139591316,0.0072561507,0.1124866679,0.0902497136,0.0019651265,-0.0002677257,0.0369513487,0.0961660399,0.0890706374
19953,584.41,3.500,13.580,8.690,35.180,0.2724949976,0.0528,0.0732,0.0793,0.0663,0.0119176530,0.0062588809,0.0133867507,0.0045847959,0.0240155816,0.0265534431,0.0013614110,-0.0001402155,0.0367632465,0.0806753115,0.0741304918
19954,615.93,3.550,13.790,7.130,33.960,0.2550263829,0.0514,0.0682,0.0749,0.0603,0.0133260340,0.0155818028,0.0131212550,0.0019524923,0.0837289320,0.0669314676,0.0018545167,-0.0001466042,0.0370685343,0.0587623270,0.0524684703
19961,645.50,3.450,14.100,8.960,34.040,0.2392996154,0.0496,0.0735,0.0803,0.0684,0.0111506730,0.0170204736,0.0122997461,0.0142962800,-0.0693105857,-0.0484848411,0.0043933021,0.0000305558,0.0375320902,0.0553878739,0.0495839017
19962,670.63,3.770,14.270,10.130,34.910,0.2364437252,0.0509,0.0771,0.0840,0.0703,0.0086932390,0.0274007259,0.0125238192,0.0064131298,-0.0019536613,0.0014252624,0.0025019321,-0.0008478904,0.0381338039,0.0450492363,0.0394082031
19963,687.31,3.890,14.660,9.780,36.000,0.2272973181,0.0509,0.0766,0.0835,0.0704,0.0087395750,0.0289046502,0.0127146829,0.0070110503,0.0165233544,0.0197374187,0.0041629121,-0.0005386936,0.0388903486,0.0312131878,0.0253213834
19964,740.74,3.790,14.900,9.860,38.730,0.2073427297,0.0491,0.0720,0.0789,0.0673,0.0082847390,0.0233732368,0.0124159360,0.0050628905,0.0493489382,0.0435711306,0.0030194648,-0.0003967552,0.0393883126,0.0834642660,0.0776976489
19971,757.12,3.610,15.060,10.470,40.240,0.2147802023,0.0514,0.0755,0.0818,0.0723,0.0096481480,0.0204480263,0.0126234009,0.0088141403,-0.0324173705,-0.0221076667,0.0048363347,-0.0013083062,0.0398166207,0.0264253937,0.0216196147
