yyyyq,Index,dpr,earning_price_ratio,devident_payout_ratio,svar,b2m,ntis,tbl,lty,ltr,tms,dft,drs,infl,ik,stock_premium
19802.0,114.24,2.943214239270544,2.0342593188866025,2.0342593188866025,0.005626350699999999,0.9901834270000001,0.015228093600000001,0.0707,0.1006,0.2436822412,0.029899999999999996,0.021299999999999986,-0.0014121202000000055,0.0323516233,0.0377419187,0.006785911315966387
19803.0,125.46,3.0171622405095455,2.148229474135431,2.148229474135431,0.0057283949,0.9216876515000001,0.023909795299999998,0.1027,0.1185,-0.11261859560000001,0.015799999999999995,0.01680000000000001,0.005453781100000013,0.0164951388,0.0375447742,0.004304606302710026
19804.0,135.76,3.079908438544635,2.21491100105803,2.21491100105803,0.0075612430000000005,0.8915030239,0.0269436677,0.1549,0.1199,0.0180539824,-0.035,0.01930000000000001,-0.007833842700000001,0.026501567599999998,0.0378569437,-0.004596405721096049
19811.0,136.0,3.0689356775772865,2.23300415915554,2.23300415915554,0.0052042879,0.9249205573999999,0.0280847932,0.1336,0.1248,-0.018192540400000002,-0.008800000000000002,0.020100000000000007,0.0085122261,0.0258147492,0.0379779576,-0.008554577947058821
19812.0,131.21,3.0158245548680966,2.1680824474722544,2.1680824474722544,0.0027492332,0.9504749816,0.028006573700000002,0.1473,0.1304,-0.0108504469,-0.0169,0.02049999999999999,-0.0088756469,0.023295378399999997,0.0382448155,-0.007007729929807183
19813.0,116.18,2.8756756629172253,2.029250593333845,2.029250593333845,0.0056891005000000005,1.0923786442,0.0214963864,0.147,0.1482,-0.0859856274,0.0012000000000000066,0.01429999999999998,-0.0029296823,0.0293400864,0.0386623804,-0.005896287379962131
19814.0,122.55,2.913902255306359,2.076752382254596,2.076752382254596,0.0044880526,1.0611428571,0.012006904799999999,0.1085,0.1334,0.1474914114,0.02489999999999999,0.0232,-0.030843603499999997,0.007866372,0.0390614715,0.003898853965320276
19821.0,111.96,2.8100817397230373,2.0228390363675457,2.0228390363675457,0.0062353902000000004,1.1857505743,0.0056059177,0.1268,0.1387,0.046512333899999994,0.011899999999999994,0.022399999999999975,0.002532850200000006,0.0056719430000000005,0.037592446099999996,-0.0037282166684887465
19822.0,109.61,2.7770691393722613,2.0458015575250426,2.0458015575250426,0.0035919289,1.2015814170999999,0.0012642472,0.1247,0.1412,0.0176163819,0.016499999999999987,0.02109999999999998,-0.008055476999999998,0.0263595661,0.0358052165,-0.0007836098144238662
19823.0,120.42,2.8652781902985076,2.183861349524052,2.183861349524052,0.0095058104,1.0885355649,0.0006764325999999999,0.0792,0.1183,0.20207738170000003,0.039099999999999996,0.026900000000000007,0.011302711799999976,0.0092723505,0.0342287272,0.002128521601561198
19824.0,140.64,3.0161323489112997,2.4093370452181553,2.4093370452181553,0.0141077955,0.9322147265999999,0.0030100517,0.0794,0.1095,0.09635876439999999,0.030100000000000002,0.023099999999999996,0.01302010200000002,-0.0030820031,0.0332308478,0.0026246990947667824
19831.0,152.96,3.0957606796735133,2.5108683727977588,2.5108683727977588,0.0067643203,0.7800677858,0.0060700061,0.0835,0.1083,0.0072219906,0.02479999999999999,0.018799999999999997,0.033213272700000004,0.0034167791999999996,0.032349985899999996,-0.0010431412719665266
19832.0,168.11,3.1844390526986395,2.5917156789887117,2.5917156789887117,0.0039075129,0.721382042,0.0158515384,0.0879,0.1119,-0.0010703089,0.023999999999999994,0.01630000000000001,0.0169999163,0.015972851200000002,0.0325018442,-0.00027723949731128447
19833.0,166.07,3.1622226803960887,2.5246453509909537,2.5246453509909537,0.0047191631,0.714847583,0.023098287999999998,0.09,0.1157,0.0014445914000000002,0.0257,0.011800000000000005,-0.0044694178,0.0123857043,0.033713297,-0.00012234232318299523
19834.0,164.93,3.1426134160361765,2.4643232473456913,2.4643232473456913,0.002479773,0.7003591178,0.0269866108,0.09,0.1197,-0.0010702247999999999,0.029700000000000004,0.011800000000000005,0.0093962319,0.0056271451,0.0355815837,0.0015447974909476789
19841.0,159.18,3.09179660120703,2.3448006115213924,2.3448006115213924,0.0041686702,0.7624754269,0.0239632881,0.0952,0.1253,-0.0095305046,0.030099999999999988,0.01419999999999999,-0.004853281999999999,0.0124916977,0.0363578112,0.0032961543241738916
19842.0,153.18,3.038274857855023,2.246602458243109,2.246602458243109,0.0036443408,0.7843518191,0.0012347683000000001,0.0987,0.1374,-0.047481573,0.0387,0.014999999999999986,0.011034739500000001,0.0110425959,0.0377419429,0.0043974315244418305
19843.0,166.1,3.1070641578895812,2.3055998676621354,2.3055998676621354,0.0049357173,0.7360509153,-0.0094339536,0.1037,0.1235,0.1352862036,0.019799999999999998,0.0169,-0.009926674400000002,0.012204999199999999,0.0385022623,-0.0008853350618904243
19844.0,167.24,3.095236839039007,2.307620471095302,2.307620471095302,0.0035022432,0.7330983765000001,-0.027153039700000003,0.0806,0.117,0.07828589400000001,0.0364,0.012700000000000003,0.01514578779999999,0.0031762109000000004,0.0389127283,0.0016912552948576895
19851.0,180.66,3.1579972645621166,2.399945418965959,2.399945418965959,0.0031834025,0.7236457790999999,-0.024776243599999997,0.0852,0.1181,0.0155543582,0.0329,0.011300000000000004,-0.0037742274999999995,0.0104394565,0.0388157348,0.0012540762503708662
19852.0,191.85,3.2064436523134057,2.508802082165621,2.508802082165621,0.0020352609,0.6864301439,-0.0265893625,0.0695,0.1055,0.1318150701,0.03599999999999999,0.014600000000000002,-0.008541444299999992,0.0109583482,0.0388337499,0.0003289350562939823
19853.0,182.08,3.142659544496851,2.4811789840308958,2.4811789840308958,0.0022141683,0.6899588298,-0.0313067522,0.071,0.1082,0.005318189,0.03720000000000001,0.014099999999999988,0.015463667299999997,0.0068175382,0.037717377999999996,0.0028261580926186303
19854.0,211.28,3.2812709927298327,2.671478042226269,2.671478042226269,0.0030849081,0.5926926882,-0.01950253,0.071,0.0956,0.1334266961,0.02460000000000001,0.014200000000000004,-0.01207399469999998,0.008923287299999999,0.03788436,-0.002102298849753881
19861.0,238.9,3.3903729629012918,2.800518044935114,2.800518044935114,0.0043831832,0.5196276277,-0.016414383799999998,0.0656,0.0766,0.1973157088,0.010999999999999996,0.015,-0.08962832579999998,-0.0042950329,0.0368914881,-0.0012022975443700297
19862.0,250.84,3.428025105660371,2.836287751061474,2.836287751061474,0.005425396,0.4992814574,-0.012165508200000001,0.0621,0.079,-0.00035728480000000003,0.0169,0.0121,0.0070078328,0.0058092696999999995,0.035542612,-8.202797258810395e-05
19863.0,231.32,3.3348016893686374,2.745802168041309,2.745802168041309,0.0078837922,0.5346292671,-0.0049242326,0.0521,0.0827,-0.013366973999999998,0.030599999999999995,0.013099999999999987,0.0323024122,0.007000718100000001,0.0346558677,0.00299671505481584
19864.0,242.17,3.373384444069858,2.81687157191484,2.81687157191484,0.0039837922,0.49843086579999996,-0.0114373941,0.0553,0.0789,0.054470161100000004,0.023599999999999996,0.014799999999999994,0.00036910119999999935,0.0027243834,0.0346734592,-0.0011307298189082056
19871.0,291.7,3.547494171024408,2.961031133052797,2.961031133052797,0.0058615698,0.42804021369999995,-0.0022834681,0.0559,0.0795,0.0135084776,0.023600000000000003,0.012500000000000011,0.005077332499999998,0.0144428655,0.0334032274,0.0014112908865615385
19872.0,304.0,3.5687599687965332,3.048411569549419,3.048411569549419,0.007753561999999999,0.4078923974,0.0051298009,0.0567,0.0877,-0.0480649228,0.031,0.011999999999999997,0.007571308899999997,0.0124618404,0.0339180966,-0.003779492431578947
19873.0,321.83,3.609551664954601,3.0102232396123108,3.0102232396123108,0.0051291190000000006,0.37996672159999995,0.0061874447,0.064,0.0992,-0.0696514675,0.035199999999999995,0.011300000000000004,0.0089556311,0.0131845611,0.0347011521,0.0014601360953018679
19874.0,247.08,3.3690579449798728,2.6475112898982296,2.6475112898982296,0.08458276390000001,0.5088120155,0.013341878500000001,0.0577,0.092,0.0838233134,0.0343,0.011800000000000005,0.002563712100000004,0.0034744843,0.034290794,0.003994851137461548
19881.0,258.89,3.3647497287730466,2.633779459326458,2.633779459326458,0.0127840529,0.5075299538,0.0061311066,0.057,0.0901,0.039231428,0.0331,0.011800000000000005,0.006937219000000001,0.0095159758,0.0342331143,0.00708610744582255
